id,code_station,code_polluant,insee_com,valeur,date_mesure
2026-06-10 14:00:00FR23124_NO2_A,FR23124,3,85289,0.75,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23124_O3_A,FR23124,8,85289,67.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23124_PM10_4,FR23124,24,85289,6.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23124_PM2.5_2,FR23124,39,85289,2.1,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23149_SO2_A,FR23149,1,44116,0.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23150_NO2_A,FR23150,3,49007,1.9,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23150_O3_A,FR23150,8,49007,78.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23152_NO2_A,FR23152,3,85191,1.2,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23152_O3_A,FR23152,8,85191,74.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23152_PM10_4,FR23152,24,85191,4.8,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23152_PM2.5_2,FR23152,39,85191,2.2,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23157_O3_A,FR23157,8,44018,72.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23163_O3_A,FR23163,8,72344,77.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23174_NO2_A,FR23174,3,72181,2.1,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23174_PM10_2,FR23174,24,72181,5.5,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23174_PM2.5_1,FR23174,39,72181,1.9,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23177_NO2_1,FR23177,3,53210,1.4,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23177_O3_A,FR23177,8,53210,79.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23177_PM10_4,FR23177,24,53210,4.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23177_PM2.5_2,FR23177,39,53210,1.7,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23178_NO2_1,FR23178,3,44052,1.4,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23178_PM10_3,FR23178,24,44052,4.4,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23178_PM2.5_2,FR23178,39,44052,1.7,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23178_SO2_A,FR23178,1,44052,0.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23181_NO2_1,FR23181,3,44184,1.3,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23181_SO2_1,FR23181,1,44184,0.73,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23182_NO2_A,FR23182,3,72181,1.2,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23182_O3_A,FR23182,8,72181,77.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23182_PM10_3,FR23182,24,72181,5.3,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23182_PM2.5_2,FR23182,39,72181,1.9,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23188_NO2_A,FR23188,3,44109,1.6,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23188_O3_A,FR23188,8,44109,78.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23188_PM10_4,FR23188,24,44109,4.7,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23188_PM2.5_2,FR23188,39,44109,1.7,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23230_O3_A,FR23230,8,44132,74.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23239_NO2_A,FR23239,3,44020,2.2,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23239_PM10_1,FR23239,24,44020,8.2,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23239_PM2.5_6,FR23239,39,44020,2.1,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23242_NO2_1,FR23242,3,49007,23.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23242_PM10_1,FR23242,24,49007,11.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23242_PM2.5_1,FR23242,39,49007,4.8,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23249_NO2_A,FR23249,3,44103,0.93,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23249_PM10_1,FR23249,24,44103,5.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23249_PM2.5_1,FR23249,39,44103,1.6,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23249_SO2_A,FR23249,1,44103,0.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23251_NO2_1,FR23251,3,44109,23.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23251_PM2.5_1,FR23251,39,44109,5.9,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23252_NO2_1,FR23252,3,53130,15.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23252_PM2.5_1,FR23252,39,53130,2.0,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23259_PM10_1,FR23259,24,44109,9.4,2026-06-10 14:00:00+00:00
2026-06-10 14:00:00FR23259_PM2.5_1,FR23259,39,44109,2.1,2026-06-10 14:00:00+00:00
2026-06-10 13:00:00FR23001_SO2_A,FR23001,1,44052,0.33,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23003_NO2_A,FR23003,3,44052,0.38,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23003_PM10_1,FR23003,24,44052,4.8,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23003_PM2.5_1,FR23003,39,44052,1.9,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23003_SO2_A,FR23003,1,44052,0.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23068_NO2_A,FR23068,3,44061,1.2,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23068_PM10_4,FR23068,24,44061,4.2,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23068_PM2.5_1,FR23068,39,44061,1.7,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23068_SO2_A,FR23068,1,44061,0.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23069_SO2_A,FR23069,1,44195,0.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23070_NO2_A,FR23070,3,44158,1.1,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23070_PM10_3,FR23070,24,44158,3.8,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23070_PM2.5_1,FR23070,39,44158,1.7,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23070_SO2_A,FR23070,1,44158,0.025,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23075_NO2_A,FR23075,3,44210,2.4,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23078_NO2_A,FR23078,3,49099,1.7,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23078_O3_A,FR23078,8,49099,79.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23078_PM10_2,FR23078,24,49099,4.4,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23078_PM2.5_2,FR23078,39,49099,1.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23110_NO2_A,FR23110,3,44184,1.5,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23110_O3_A,FR23110,8,44184,75.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23110_PM10_3,FR23110,24,44184,6.2,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23110_PM2.5_3,FR23110,39,44184,2.1,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23120_NO2_A,FR23120,3,49007,8.2,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23120_PM10_4,FR23120,24,49007,17.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23120_PM2.5_2,FR23120,39,49007,3.4,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23123_NO2_A,FR23123,3,53130,2.2,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23123_O3_A,FR23123,8,53130,70.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23123_PM10_3,FR23123,24,53130,7.7,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23123_PM2.5_3,FR23123,39,53130,3.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23124_NO2_A,FR23124,3,85289,0.73,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23124_O3_A,FR23124,8,85289,66.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23124_PM10_4,FR23124,24,85289,5.6,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23124_PM2.5_2,FR23124,39,85289,2.1,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23149_SO2_A,FR23149,1,44116,0.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23150_NO2_A,FR23150,3,49007,1.7,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23150_O3_A,FR23150,8,49007,75.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23152_NO2_A,FR23152,3,85191,1.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23152_O3_A,FR23152,8,85191,74.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23152_PM10_4,FR23152,24,85191,4.2,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23152_PM2.5_2,FR23152,39,85191,1.9,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23157_O3_A,FR23157,8,44018,70.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23163_O3_A,FR23163,8,72344,72.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23174_NO2_A,FR23174,3,72181,1.7,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23174_PM10_2,FR23174,24,72181,4.3,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23174_PM2.5_1,FR23174,39,72181,1.8,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23177_NO2_1,FR23177,3,53210,1.2,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23177_O3_A,FR23177,8,53210,75.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23177_PM10_4,FR23177,24,53210,4.8,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23177_PM2.5_2,FR23177,39,53210,1.9,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23178_NO2_1,FR23178,3,44052,1.3,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23178_PM10_3,FR23178,24,44052,4.5,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23178_PM2.5_2,FR23178,39,44052,2.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23178_SO2_A,FR23178,1,44052,0.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23181_NO2_1,FR23181,3,44184,1.2,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23181_SO2_1,FR23181,1,44184,0.68,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23182_NO2_A,FR23182,3,72181,1.4,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23182_O3_A,FR23182,8,72181,74.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23182_PM10_3,FR23182,24,72181,6.2,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23182_PM2.5_2,FR23182,39,72181,2.1,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23188_NO2_A,FR23188,3,44109,1.5,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23188_O3_A,FR23188,8,44109,78.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23188_PM10_4,FR23188,24,44109,6.3,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23188_PM2.5_2,FR23188,39,44109,2.5,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23230_O3_A,FR23230,8,44132,72.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23239_NO2_A,FR23239,3,44020,2.9,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23239_PM10_1,FR23239,24,44020,12.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23239_PM2.5_6,FR23239,39,44020,3.1,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23242_NO2_1,FR23242,3,49007,27.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23242_PM10_1,FR23242,24,49007,12.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23242_PM2.5_1,FR23242,39,49007,3.1,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23249_NO2_A,FR23249,3,44103,0.88,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23249_PM10_1,FR23249,24,44103,3.6,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23249_PM2.5_1,FR23249,39,44103,1.7,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23249_SO2_A,FR23249,1,44103,0.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23251_NO2_1,FR23251,3,44109,16.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23251_PM2.5_1,FR23251,39,44109,5.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23252_NO2_1,FR23252,3,53130,14.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23252_PM2.5_1,FR23252,39,53130,0.93,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23259_PM10_1,FR23259,24,44109,13.0,2026-06-10 13:00:00+00:00
2026-06-10 13:00:00FR23259_PM2.5_1,FR23259,39,44109,3.2,2026-06-10 13:00:00+00:00
2026-06-10 12:00:00FR23001_SO2_A,FR23001,1,44052,0.28,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23003_NO2_A,FR23003,3,44052,0.18,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23003_PM10_1,FR23003,24,44052,3.7,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23003_PM2.5_1,FR23003,39,44052,1.7,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23003_SO2_A,FR23003,1,44052,0.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23068_NO2_A,FR23068,3,44061,1.2,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23068_PM10_4,FR23068,24,44061,5.3,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23068_PM2.5_1,FR23068,39,44061,2.7,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23068_SO2_A,FR23068,1,44061,0.2,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23069_SO2_A,FR23069,1,44195,0.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23070_NO2_A,FR23070,3,44158,0.7,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23070_PM10_3,FR23070,24,44158,4.3,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23070_PM2.5_1,FR23070,39,44158,2.1,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23070_SO2_A,FR23070,1,44158,0.1,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23075_NO2_A,FR23075,3,44210,3.1,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23078_NO2_A,FR23078,3,49099,1.7,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23078_O3_A,FR23078,8,49099,78.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23078_PM10_2,FR23078,24,49099,5.4,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23078_PM2.5_2,FR23078,39,49099,0.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23110_NO2_A,FR23110,3,44184,1.2,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23110_O3_A,FR23110,8,44184,75.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23110_PM10_3,FR23110,24,44184,3.6,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23110_PM2.5_3,FR23110,39,44184,1.6,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23120_NO2_A,FR23120,3,49007,4.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23120_PM10_4,FR23120,24,49007,9.2,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23120_PM2.5_2,FR23120,39,49007,2.8,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23123_NO2_A,FR23123,3,53130,2.3,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23123_O3_A,FR23123,8,53130,68.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23123_PM10_3,FR23123,24,53130,6.9,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23123_PM2.5_3,FR23123,39,53130,3.2,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23124_NO2_A,FR23124,3,85289,0.63,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23124_O3_A,FR23124,8,85289,65.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23124_PM10_4,FR23124,24,85289,5.8,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23124_PM2.5_2,FR23124,39,85289,2.1,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23149_SO2_A,FR23149,1,44116,0.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23150_NO2_A,FR23150,3,49007,1.7,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23150_O3_A,FR23150,8,49007,74.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23152_NO2_A,FR23152,3,85191,1.7,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23152_O3_A,FR23152,8,85191,71.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23152_PM10_4,FR23152,24,85191,4.1,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23152_PM2.5_2,FR23152,39,85191,1.9,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23157_O3_A,FR23157,8,44018,70.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23163_O3_A,FR23163,8,72344,73.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23174_NO2_A,FR23174,3,72181,1.9,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23174_PM10_2,FR23174,24,72181,5.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23174_PM2.5_1,FR23174,39,72181,2.4,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23177_NO2_1,FR23177,3,53210,1.5,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23177_O3_A,FR23177,8,53210,72.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23177_PM10_4,FR23177,24,53210,3.4,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23177_PM2.5_2,FR23177,39,53210,1.7,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23178_NO2_1,FR23178,3,44052,1.2,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23178_PM10_3,FR23178,24,44052,4.6,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23178_PM2.5_2,FR23178,39,44052,2.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23178_SO2_A,FR23178,1,44052,0.15,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23181_NO2_1,FR23181,3,44184,1.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23181_SO2_1,FR23181,1,44184,0.48,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23182_NO2_A,FR23182,3,72181,1.1,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23182_O3_A,FR23182,8,72181,71.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23182_PM10_3,FR23182,24,72181,7.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23182_PM2.5_2,FR23182,39,72181,2.5,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23188_NO2_A,FR23188,3,44109,1.7,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23188_O3_A,FR23188,8,44109,79.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23188_PM10_4,FR23188,24,44109,5.7,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23188_PM2.5_2,FR23188,39,44109,2.4,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23230_O3_A,FR23230,8,44132,70.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23239_NO2_A,FR23239,3,44020,3.7,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23239_PM10_1,FR23239,24,44020,7.5,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23239_PM2.5_6,FR23239,39,44020,3.1,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23242_NO2_1,FR23242,3,49007,17.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23242_PM10_1,FR23242,24,49007,18.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23242_PM2.5_1,FR23242,39,49007,1.2,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23249_NO2_A,FR23249,3,44103,1.1,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23249_PM10_1,FR23249,24,44103,4.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23249_PM2.5_1,FR23249,39,44103,1.6,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23249_SO2_A,FR23249,1,44103,0.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23251_NO2_1,FR23251,3,44109,15.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23251_PM2.5_1,FR23251,39,44109,6.8,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23252_NO2_1,FR23252,3,53130,13.0,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23252_PM2.5_1,FR23252,39,53130,3.6,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23259_PM10_1,FR23259,24,44109,8.6,2026-06-10 12:00:00+00:00
2026-06-10 12:00:00FR23259_PM2.5_1,FR23259,39,44109,3.0,2026-06-10 12:00:00+00:00
2026-06-10 11:00:00FR23001_SO2_A,FR23001,1,44052,0.28,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23003_NO2_A,FR23003,3,44052,0.57,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23003_PM10_1,FR23003,24,44052,6.3,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23003_PM2.5_1,FR23003,39,44052,2.4,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23003_SO2_A,FR23003,1,44052,0.025,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23068_NO2_A,FR23068,3,44061,2.1,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23068_PM10_4,FR23068,24,44061,6.1,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23068_PM2.5_1,FR23068,39,44061,3.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23068_SO2_A,FR23068,1,44061,0.15,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23069_SO2_A,FR23069,1,44195,0.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23070_NO2_A,FR23070,3,44158,0.7,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23070_PM10_3,FR23070,24,44158,4.8,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23070_PM2.5_1,FR23070,39,44158,2.1,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23070_SO2_A,FR23070,1,44158,0.35,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23075_NO2_A,FR23075,3,44210,2.6,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23078_NO2_A,FR23078,3,49099,2.2,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23078_O3_A,FR23078,8,49099,75.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23078_PM10_2,FR23078,24,49099,7.1,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23078_PM2.5_2,FR23078,39,49099,3.2,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23110_NO2_A,FR23110,3,44184,1.6,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23110_O3_A,FR23110,8,44184,73.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23110_PM10_3,FR23110,24,44184,7.5,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23110_PM2.5_3,FR23110,39,44184,3.3,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23120_NO2_A,FR23120,3,49007,4.9,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23120_PM10_4,FR23120,24,49007,46.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23120_PM2.5_2,FR23120,39,49007,8.8,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23123_NO2_A,FR23123,3,53130,1.5,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23123_O3_A,FR23123,8,53130,67.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23123_PM10_3,FR23123,24,53130,5.9,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23123_PM2.5_3,FR23123,39,53130,2.9,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23124_NO2_A,FR23124,3,85289,0.95,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23124_O3_A,FR23124,8,85289,61.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23124_PM10_4,FR23124,24,85289,4.8,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23124_PM2.5_2,FR23124,39,85289,2.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23149_SO2_A,FR23149,1,44116,0.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23150_NO2_A,FR23150,3,49007,2.5,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23150_O3_A,FR23150,8,49007,73.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23152_NO2_A,FR23152,3,85191,1.1,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23152_O3_A,FR23152,8,85191,69.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23152_PM10_4,FR23152,24,85191,3.7,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23152_PM2.5_2,FR23152,39,85191,2.1,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23157_O3_A,FR23157,8,44018,67.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23163_O3_A,FR23163,8,72344,71.0,2026-06-10 11:00:00+00:00
2026-06-10 11:00:00FR23174_NO2_A,FR23174,3,72181,2.3,2026-06-10 11:00:00+00:00
